deal_website_name,cancellation_year,grid_name,grid
,2018,Fraunhofer Chalmers Research Centre for Industrial Mathematics,grid.452079.d
,2018,Fraunhofer Chile Research Foundation,grid.469835.5
,2018,Fraunhofer Group for Microelectronics,grid.507670.3
,2018,Fraunhofer ICT Group,grid.506225.6
,2018,Fraunhofer Information Center for Planning and Building,grid.469872.6
,2018,Fraunhofer Institute for Algorithms and Scientific Computing,grid.418688.b
,2018,Fraunhofer Institute for Applied Information Technology,grid.469870.4
,2018,Fraunhofer Institute for Applied Optics and Precision Engineering,grid.418007.a
,2018,Fraunhofer Institute for Applied Polymer Research,grid.461615.1
,2018,Fraunhofer Institute for Applied Solid State Physics,grid.424642.2
,2018,Fraunhofer Institute for Applied and Integrated Security,grid.469867.2
,2018,Fraunhofer Institute for Biomedical Engineering,grid.452493.d
,2018,Fraunhofer Institute for Building Physics,grid.469871.5
,2018,Fraunhofer Institute for Cell Therapy and Immunology,grid.418008.5
,2018,Fraunhofer Institute for Ceramic Technologies and Systems,grid.461622.5
,2018,Fraunhofer Institute for Chemical Technology,grid.461616.2
,2018,Fraunhofer Institute for Cognitive Systems,grid.469865.0
,2018,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",grid.469836.6
,2018,Fraunhofer Institute for Computer Graphics Research,grid.461618.c
,2018,Fraunhofer Institute for Digital Media Technology,grid.469861.4
,2018,Fraunhofer Institute for Digital Medicine,grid.428590.2
,2018,Fraunhofer Institute for Electronic Nano Systems,grid.469847.0
,2018,Fraunhofer Institute for Energy Economics and Energy System Technology,grid.506250.4
,2018,"Fraunhofer Institute for Environmental, Safety, and Energy Technology",grid.424428.c
,2018,Fraunhofer Institute for Experimental Software Engineering,grid.469863.6
,2018,Fraunhofer Institute for Factory Operation and Automation,grid.469818.a
,2018,Fraunhofer Institute for High Frequency Physics and Radar Techniques,grid.461619.d
,2018,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",grid.461627.0
,2018,Fraunhofer Institute for Industrial Engineering,grid.434477.7
,2018,Fraunhofer Institute for Industrial Mathematics,grid.461635.3
,2018,Fraunhofer Institute for Integrated Circuits,grid.469823.2
,2018,Fraunhofer Institute for Integrated Systems and Device Technology,grid.469855.3
,2018,Fraunhofer Institute for Intelligent Analysis and Information Systems,grid.469822.3
