article_pubyear,publisher,institution_name,n_items
2017,Elsevier,Max Planck Institute for Gravitational Physics,3
2016,Elsevier,Esslingen University of Applied Sciences,4
2020,Elsevier,Max Planck Institute for Chemical Physics of Solids,2
2016,Elsevier,Coburg University of Applied Sciences,2
2018,Non-Elsevier,Max Planck Institute for Metabolism Research,12
2012,Elsevier,University of Applied Sciences Emden Leer,1
2014,Elsevier,Fraunhofer Institute for Open Communication Systems,4
2020,Elsevier,University of Applied Sciences Würzburg-Schweinfurt,2
2017,Elsevier,Max Planck Institute for Molecular Biomedicine,7
2016,Elsevier,Max Planck Institute for Gravitational Physics,2
2017,Non-Elsevier,Fraunhofer Institute for Industrial Engineering,3
2012,Non-Elsevier,Fraunhofer Society,3
2020,Elsevier,Fraunhofer Institute for Digital Medicine,2
2018,Elsevier,Max Planck Institute for Demographic Research,4
2018,Non-Elsevier,Fresenius University of Applied Sciences,13
2018,Elsevier,Max Planck Institute of Immunobiology and Epigenetics,8
2020,Elsevier,Fraunhofer Society,3
2017,Elsevier,Max Planck Institute for Coal Research,6
2014,Elsevier,Max Planck Institute of Biophysics,9
2012,Elsevier,Technische Hochschule Mittelhessen,6
2018,Elsevier,HHL Leipzig Graduate School of Management,5
2016,Non-Elsevier,Max Planck Institute for European Legal History,2
2016,Elsevier,Max Planck Institute for the Study of Societies,1
2020,Non-Elsevier,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",4
2017,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,3
2018,Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,3
2014,Elsevier,Max Planck Institute for the Science of Light,3
2013,Elsevier,Bernhard Nocht Institute for Tropical Medicine,7
2012,Elsevier,Fraunhofer Institute for Building Physics,3
2013,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,3
2020,Non-Elsevier,Fraunhofer Institute for Technological Trend Analysis,4
2017,Non-Elsevier,Coburg University of Applied Sciences,6
2012,Elsevier,Fraunhofer Institute for Software and Systems Engineering,1
2012,Non-Elsevier,Fraunhofer Institute for Material Flow and Logistics,2
2019,Elsevier,Max Planck Institute for Brain Research,11
2013,Elsevier,Fraunhofer Institute for Industrial Engineering,1
2018,Elsevier,Fraunhofer Institute for Building Physics,4
2015,Elsevier,Leibniz Institute for Zoo and Wildlife Research,6
2013,Elsevier,German Rheumatism Research Centre,5
2019,Non-Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,7
2016,Non-Elsevier,University of Applied Sciences Rosenheim,1
2017,Elsevier,Coburg University of Applied Sciences,2
2017,Non-Elsevier,Regensburg University of Applied Sciences,10
2013,Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,3
2018,Non-Elsevier,Karlsruhe University of Education,7
2019,Elsevier,Rhine-Waal University of Applied Sciences,3
2018,Elsevier,University of Education Freiburg,1
2020,Elsevier,Max Planck Institute for Terrestrial Microbiology,6
2012,Elsevier,Max Planck Institute for Biology of Ageing,2
2012,Non-Elsevier,Fachhochschule Kiel,3
2016,Non-Elsevier,Hochschule Osnabrück,15
2020,Elsevier,Fraunhofer Research Institution for Additive Production Technology,6
2020,Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,2
2013,Elsevier,Fresenius University of Applied Sciences,2
2015,Non-Elsevier,Kühne Logistics University,3
2013,Elsevier,Max Planck Institute of Molecular Physiology,9
2018,Non-Elsevier,German National Library of Economics,4
2019,Non-Elsevier,Fraunhofer Institute for Physical Measurement Techniques,5
2019,Elsevier,Max Planck Institute for Metabolism Research,12
2012,Non-Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,6
2020,Elsevier,Zittau/Görlitz University of Applied Sciences,1
2019,Elsevier,Hochschule Mittweida,4
2012,Elsevier,University of Bamberg,13
2020,Elsevier,Fraunhofer Institute for Electronic Nano Systems,1
2017,Elsevier,Max Planck Institute for Marine Microbiology,5
2013,Elsevier,University of Applied Sciences Biberach,1
2014,Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",1
2014,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,5
2017,Elsevier,Bremen University of Applied Sciences,3
2015,Non-Elsevier,Hochschule Osnabrück,5
2019,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,5
2017,Elsevier,Fraunhofer Institute for High Frequency Physics and Radar Techniques,1
2017,Elsevier,Leibniz Institute of Ecological Urban and Regional Development,5
2018,Elsevier,Fraunhofer Research Institution for Additive Production Technology,6
2015,Non-Elsevier,Max Planck Florida Institute for Neuroscience,6
2015,Non-Elsevier,Fraunhofer Institute for Applied Information Technology,3
2020,Elsevier,Esslingen University of Applied Sciences,2
2017,Non-Elsevier,Fraunhofer Institute for Building Physics,3
2018,Non-Elsevier,Berlin State Library,1
2012,Non-Elsevier,Hochschule Bremerhaven,5
2016,Non-Elsevier,Max Planck Institute for Innovation and Competition,3
2013,Elsevier,University of Applied Sciences Emden Leer,1
2019,Non-Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,7
2014,Elsevier,Fraunhofer Austria,2
2018,Non-Elsevier,Centre For European Economic Research,7
2012,Elsevier,Münster University of Applied Sciences,3
2016,Elsevier,Fraunhofer Institute for Factory Operation and Automation,3
2017,Elsevier,Social Science Research Center Berlin,3
2013,Non-Elsevier,Leibniz Institute of Ecological Urban and Regional Development,4
2017,Elsevier,Max Planck Institute for Molecular Genetics,8
2015,Elsevier,Max Planck Institute for Biology of Ageing,6
2020,Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,2
2012,Elsevier,Max Planck Institute for Molecular Genetics,19
2015,Elsevier,Fraunhofer Institute for Microengineering and Microsystems,2
2018,Elsevier,Fraunhofer Institute for Factory Operation and Automation,3
2020,Non-Elsevier,German National Library of Economics,2
2020,Elsevier,Fachhochschule Bielefeld,8
2019,Elsevier,Max Planck Institute for Dynamics and Self Organization,8
2012,Elsevier,Max Planck Institute for Infection Biology,10
2013,Non-Elsevier,Max Planck Institute for the Study of Societies,6
2018,Elsevier,Max Planck Institute for Astronomy,1
2017,Non-Elsevier,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",6
2014,Non-Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,12
2018,Elsevier,Nürtingen-Geislingen University of Applied Science,4
2015,Elsevier,Dresden University of Applied Sciences,1
2013,Elsevier,Fraunhofer Institute for Nondestructive Testing,5
2016,Elsevier,Max Planck Research Unit Neurogenetics,2
2018,Elsevier,Fulda University of Applied Sciences,2
2014,Elsevier,Dresden University of Applied Sciences,3
2017,Non-Elsevier,University of Applied Sciences Ravensburg-Weingarten,3
2018,Elsevier,Fraunhofer Institute for Digital Medicine,4
2020,Elsevier,Max Planck Institute for Molecular Biomedicine,4
2018,Elsevier,Max Planck Institute for Coal Research,7
2017,Elsevier,Fraunhofer Institute for Microengineering and Microsystems,1
2014,Non-Elsevier,Fraunhofer Singapore,1
2014,Elsevier,Hochschule Aalen,2
2019,Elsevier,Hochschule Geisenheim University,7
2019,Non-Elsevier,Max Planck Institute for the History of Science,8
2015,Elsevier,Reutlingen University,4
2014,Elsevier,Max Planck Florida Institute for Neuroscience,1
2016,Non-Elsevier,Fraunhofer Institute for Nondestructive Testing,4
2018,Elsevier,Furtwangen University,8
2018,Elsevier,Fraunhofer Institute for Industrial Engineering,3
2018,Non-Elsevier,Dresden University of Applied Sciences,11
2015,Elsevier,Halle Institute for Economic Research,3
2019,Non-Elsevier,Fraunhofer Center for International Management and Knowledge Economy,2
2017,Non-Elsevier,Karlsruhe University of Education,4
2020,Non-Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,3
2020,Elsevier,Max Planck Institute for Chemical Ecology,13
2014,Elsevier,Max Planck Institute for Social Law and Social Policy,1
2019,Elsevier,Max Planck Institute for Marine Microbiology,2
2020,Elsevier,Hochschule Ulm,6
2016,Non-Elsevier,Pforzheim University of Applied Sciences,7
2013,Non-Elsevier,hsg Bochum - University of Applied Sciences,2
2018,Non-Elsevier,Fraunhofer Institute for Applied Solid State Physics,16
2018,Elsevier,Max Planck Institute for Software Systems,1
2015,Non-Elsevier,Fresenius University of Applied Sciences,3
2018,Non-Elsevier,Neubrandenburg University of Applied Sciences,7
2012,Non-Elsevier,Rhine-Waal University of Applied Sciences,6
2016,Elsevier,Darmstadt University of Applied Sciences,1
2015,Non-Elsevier,Darmstadt University of Applied Sciences,4
2018,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,5
2014,Non-Elsevier,Dresden University of Applied Sciences,4
2012,Non-Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,2
2014,Non-Elsevier,Hochschule Mittweida,6
2018,Non-Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,10
2015,Non-Elsevier,HHL Leipzig Graduate School of Management,2
2013,Elsevier,Leipzig University of Applied Sciences,3
2012,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,5
2020,Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,1
2015,Elsevier,Fraunhofer Institute for Material Flow and Logistics,1
2012,Elsevier,Max Planck Unit for Structural Molecular Biology,2
2013,Elsevier,Institute for the German Language,2
2020,Non-Elsevier,hsg Bochum - University of Applied Sciences,4
2013,Non-Elsevier,Fraunhofer Institute for Building Physics,5
2017,Elsevier,Technische Hochschule Ingolstadt,1
2017,Elsevier,Fraunhofer Institute for Software and Systems Engineering,1
2014,Non-Elsevier,Karlsruhe University of Education,2
2013,Non-Elsevier,Fraunhofer Institute for Manufacturing Technology and Advanced Materials,12
2020,Elsevier,Rottenburg University of Applied Forest Sciences,5
2014,Non-Elsevier,Institute for the German Language,1
2020,Elsevier,Fraunhofer Italia Research,3
2012,Non-Elsevier,Max Planck Institute for Tax Law and Public Finance,2
2015,Elsevier,Institute of Plant Genetics and Crop Plant Research,8
2015,Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,4
2017,Elsevier,Darmstadt University of Applied Sciences,5
2016,Elsevier,Bremen University of Applied Sciences,3
2016,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,5
2014,Elsevier,Mannheim University of Applied Sciences,8
2014,Elsevier,Max Planck Institute for Innovation and Competition,1
2012,Elsevier,Hochschule Bremerhaven,2
2016,Elsevier,Albstadt-Sigmaringen University,1
2018,Non-Elsevier,Max Planck Institute for Comparative and International Private Law,1
2014,Elsevier,Social Science Research Center Berlin,5
2018,Non-Elsevier,Stuttgart University of Applied Sciences,1
2019,Elsevier,Augsburg University of Applied Sciences,8
2014,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,2
2015,Non-Elsevier,Fraunhofer Institute for Microstructure of Materials and Systems,1
2016,Non-Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,5
2019,Elsevier,Fraunhofer Institute for Building Physics,3
2019,Non-Elsevier,Fraunhofer Institute for Production Systems and Design Technology,6
2013,Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,9
2014,Elsevier,Max Planck Institute of Molecular Physiology,14
2017,Non-Elsevier,Fraunhofer Research Institution for Microsystems and Solid State Technologies,4
2015,Non-Elsevier,Max Planck Innovation,1
2017,Elsevier,Fraunhofer Institute for Material Flow and Logistics,2
2015,Elsevier,University of Hagen,13
2019,Non-Elsevier,Karlsruhe University of Education,7
2013,Non-Elsevier,Fulda University of Applied Sciences,5
2016,Elsevier,RWI – Leibniz Institute for Economic Research,3
2020,Elsevier,Max Planck Institute for Nuclear Physics,6
2013,Non-Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,3
2018,Non-Elsevier,Fraunhofer Institute for Computer Graphics Research,8
2020,Non-Elsevier,Fraunhofer Research Institution for Microsystems and Solid State Technologies,5
2012,Elsevier,Max Planck Institute for Extraterrestrial Physics,2
2017,Elsevier,Max Planck Institute for Radio Astronomy,1
2019,Elsevier,Bernhard Nocht Institute for Tropical Medicine,6
2020,Elsevier,Fraunhofer Institute for Applied Solid State Physics,1
2016,Non-Elsevier,Fraunhofer Institute for Chemical Technology,12
2016,Non-Elsevier,Max Planck Graduate Center,2
2015,Non-Elsevier,University of Education Weingarten,5
2013,Elsevier,Stuttgart University of Applied Sciences,1
2014,Elsevier,Darmstadt University of Applied Sciences,2
2018,Elsevier,Bremen University of Applied Sciences,3
2012,Elsevier,Max Planck Institute for Brain Research,6
2020,Non-Elsevier,Fraunhofer Center for Maritime Logistics and Services,3
2013,Elsevier,Fraunhofer Institute for Secure Information Technology,1
2015,Elsevier,University of Applied Sciences Emden Leer,3
2019,Elsevier,Max Planck Institute for Demographic Research,5
2019,Elsevier,Fraunhofer Project Centre Wolfsburg,3
2015,Elsevier,Max Planck Institute for Meteorology,5
2016,Non-Elsevier,Mathematical Research Institute of Oberwolfach,1
2014,Non-Elsevier,University of Education Weingarten,1
2017,Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,3
2012,Non-Elsevier,Fraunhofer Institute for Building Physics,3
2018,Elsevier,Hochschule Bremerhaven,1
2020,Elsevier,Max Planck Institute for Mathematics,5
2017,Elsevier,Fachhochschule Bielefeld,3
2016,Elsevier,Fraunhofer Institute for Photonic Microsystems,3
2019,Elsevier,German Rheumatism Research Centre,8
2019,Non-Elsevier,University of Applied Sciences Emden Leer,10
2013,Elsevier,Mannheim University of Applied Sciences,4
2014,Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,7
2014,Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,7
2017,Elsevier,Leibniz-Centre General Linguistics,1
2016,Non-Elsevier,Fraunhofer Institute for Applied Solid State Physics,14
2019,Non-Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,5
2016,Elsevier,Fresenius University of Applied Sciences,3
2017,Elsevier,Max Planck University of Twente Center for Complex Fluid Dynamics,1
2013,Non-Elsevier,Frankfurt University of Applied Sciences,3
2013,Elsevier,Dresden University of Applied Sciences,1
2017,Elsevier,Fraunhofer Research Institution for Additive Production Technology,2
2019,Elsevier,Fraunhofer Institute for Mechanics of Materials,7
2012,Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,3
2018,Elsevier,Max Planck Research Unit Neurogenetics,1
2019,Non-Elsevier,Nürtingen-Geislingen University of Applied Science,2
2020,Elsevier,Fraunhofer Institute for Wind Energy Systems,5
2013,Non-Elsevier,Fraunhofer Institute for Cognitive Systems,2
2017,Elsevier,Max Planck Institute of Microstructure Physics,5
2019,Elsevier,Max Planck Florida Institute for Neuroscience,5
2015,Elsevier,Fraunhofer Institute for Applied Information Technology,3
2017,Elsevier,Fraunhofer Research Institution for Marine Biotechnology and Cell Technology,1
2015,Non-Elsevier,Fraunhofer Institute for Technological Trend Analysis,4
2015,Elsevier,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",1
2012,Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",3
2017,Elsevier,Max Planck Institute for Medical Research,2
2020,Non-Elsevier,Max Planck Institute for European Legal History,3
2020,Non-Elsevier,Mathematical Research Institute of Oberwolfach,1
2014,Non-Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,5
2019,Elsevier,Fraunhofer Research Institution for Large Structures in Production Engineering,4
2017,Elsevier,Halle Institute for Economic Research,4
2012,Non-Elsevier,Karlsruhe University of Applied Sciences,4
2016,Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,7
2013,Elsevier,Fraunhofer Institute for Reliability and Microintegration,3
2013,Non-Elsevier,University of Education Weingarten,1
2020,Elsevier,Leibniz Institute for Farm Animal Biology,11
2016,Elsevier,Deggendorf Institute of Technology,3
2017,Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,6
2019,Elsevier,Dresden University of Applied Sciences,3
2017,Non-Elsevier,Fraunhofer Institute for Technological Trend Analysis,1
2013,Non-Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,1
2018,Non-Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,5
2012,Non-Elsevier,University of Applied Sciences Biberach,2
2014,Non-Elsevier,Halle Institute for Economic Research,2
2017,Elsevier,Hochschule Konstanz University of Applied Sciences,2
2020,Elsevier,Darmstadt University of Applied Sciences,1
2012,Elsevier,Max Planck Institute for Gravitational Physics,6
2016,Non-Elsevier,Karlsruhe University of Education,6
2017,Non-Elsevier,University of Applied Sciences Rosenheim,3
2017,Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,7
2013,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,11
2020,Elsevier,Max Planck Institute for Brain Research,4
2019,Non-Elsevier,Fraunhofer Society,4
2013,Non-Elsevier,Fraunhofer Institute for Industrial Engineering,2
2013,Non-Elsevier,Fraunhofer Institute for Physical Measurement Techniques,6
2012,Elsevier,Fraunhofer Institute for Open Communication Systems,3
2012,Non-Elsevier,University of Applied Sciences Ravensburg-Weingarten,1
2016,Non-Elsevier,Halle Institute for Economic Research,5
2015,Non-Elsevier,Fraunhofer Society,7
2019,Elsevier,Neubrandenburg University of Applied Sciences,2
2015,Elsevier,Max Planck Institute for the Science of Human History,2
2013,Non-Elsevier,Fraunhofer Institute for High Frequency Physics and Radar Techniques,2
2017,Elsevier,Neubrandenburg University of Applied Sciences,2
2020,Elsevier,Fraunhofer Institute for Applied Polymer Research,2
2019,Non-Elsevier,Hochschule Osnabrück,12
2012,Non-Elsevier,Deggendorf Institute of Technology,2
2015,Non-Elsevier,Leibniz-Centre General Linguistics,6
2018,Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",4
2018,Non-Elsevier,Carl Maria von Weber College of Music,2
2013,Non-Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,7
2016,Non-Elsevier,Max Planck Institute for Social Law and Social Policy,3
2019,Elsevier,Fraunhofer Research Institution for Additive Production Technology,1
2020,Elsevier,Max Planck Institute for Radio Astronomy,2
2017,Non-Elsevier,Fraunhofer Institute for Mechatronic Systems Design,7
2017,Elsevier,Fraunhofer Research Institution for Microsystems and Solid State Technologies,2
2020,Elsevier,Rhine-Waal University of Applied Sciences,5
2019,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,9
2012,Elsevier,Max Planck Institute for Social Anthropology,3
2017,Non-Elsevier,Fraunhofer Chile Research Foundation,1
2012,Elsevier,Hochschule Aalen,3
2017,Non-Elsevier,Max Planck Research Unit Neurogenetics,1
2017,Non-Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,4
2017,Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,2
2019,Elsevier,Fraunhofer Institute for Applied Solid State Physics,2
2018,Elsevier,Hochschule Ulm,7
2017,Elsevier,Fraunhofer Austria,3
2016,Non-Elsevier,Fraunhofer Institute for Digital Media Technology,1
2019,Elsevier,Fraunhofer Institute for Reliability and Microintegration,5
2019,Non-Elsevier,Max Planck Institute for Social Law and Social Policy,3
2012,Elsevier,Max Planck Institute for the History of Science,1
2014,Non-Elsevier,Max Planck Institute for Foreign and International Criminal Law,3
2020,Elsevier,Max Planck Institute for Solar System Research,3
2015,Non-Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,1
2013,Non-Elsevier,Hochschule Bremerhaven,4
2012,Elsevier,Max Planck Institute for Demographic Research,6
2018,Elsevier,Fraunhofer Research Institution for Microsystems and Solid State Technologies,2
2018,Elsevier,Fraunhofer Institute for Energy Economics and Energy System Technology,7
2020,Elsevier,Max Planck Institute for Infection Biology,1
2018,Non-Elsevier,Fraunhofer Institute for Experimental Software Engineering,4
2012,Elsevier,Fraunhofer Institute for Experimental Software Engineering,1
2020,Elsevier,Fraunhofer Research Institution for Large Structures in Production Engineering,5
2017,Elsevier,Fraunhofer Italia Research,4
2018,Elsevier,Max Planck Institute for Empirical Aesthetics,4
2015,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,4
2012,Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,2
2015,Elsevier,Max Planck Research Unit Neurogenetics,2
2018,Elsevier,Albstadt-Sigmaringen University,1
2013,Elsevier,Max Planck Institute for Meteorology,7
2014,Non-Elsevier,Mathematical Research Institute of Oberwolfach,1
2016,Elsevier,Max Planck Institute for Infection Biology,8
2015,Non-Elsevier,Fraunhofer Austria,2
2017,Elsevier,Rhine-Waal University of Applied Sciences,3
2019,Elsevier,Max Planck Institute for Biology of Ageing,10
2016,Non-Elsevier,RWI – Leibniz Institute for Economic Research,4
2014,Elsevier,Fraunhofer Institute for Algorithms and Scientific Computing,2
2016,Elsevier,University of Applied Sciences Emden Leer,1
2020,Elsevier,Fraunhofer Center for International Management and Knowledge Economy,1
2017,Non-Elsevier,Augsburg University of Applied Sciences,3
2018,Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,4
2014,Non-Elsevier,Max Planck Institute for Empirical Aesthetics,4
2012,Elsevier,Max Planck Institute for Tax Law and Public Finance,2
2018,Elsevier,Deggendorf Institute of Technology,1
2019,Non-Elsevier,Zittau/Görlitz University of Applied Sciences,2
2012,Elsevier,Esslingen University of Applied Sciences,2
2017,Non-Elsevier,Fraunhofer Society,3
2015,Elsevier,Social Science Research Center Berlin,3
2017,Non-Elsevier,Fraunhofer Institute for Reliability and Microintegration,4
2012,Non-Elsevier,Fraunhofer Institute for Experimental Software Engineering,2
2017,Non-Elsevier,Dresden University of Applied Sciences,7
2012,Non-Elsevier,Stuttgart University of Applied Sciences,3
2020,Elsevier,Hochschule Hannover,2
2019,Non-Elsevier,Max Planck Institute for European Legal History,2
2016,Elsevier,Fraunhofer Institute for Transportation and Infrastructure Systems,1
2012,Non-Elsevier,Schloss Dagstuhl – Leibniz Center for Informatics,1
2020,Elsevier,Fraunhofer Institute for Digital Media Technology,1
2012,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,2
2014,Non-Elsevier,Fraunhofer Chile Research Foundation,1
2014,Elsevier,Max Planck Institute of Microstructure Physics,12
2017,Non-Elsevier,Max Planck Institute for Research on Collective Goods,7
2014,Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,3
2018,Elsevier,Fachhochschule Bielefeld,7
2017,Elsevier,Hochschule Aalen,4
2014,Non-Elsevier,Hamm-Lippstadt University of Applied Sciences,1
2020,Elsevier,Fraunhofer Portugal Research,2
2018,Elsevier,Frankfurt University of Applied Sciences,2
2012,Elsevier,Max Planck Institute of Quantum Optics,3
2016,Elsevier,Kühne Logistics University,1
2014,Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,4
2017,Elsevier,Fresenius University of Applied Sciences,2
2020,Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,1
2014,Elsevier,Fraunhofer Chile Research Foundation,4
2020,Non-Elsevier,Max Planck Institute for Comparative and International Private Law,1
2019,Elsevier,"Fraunhofer Institute for Environmental, Safety, and Energy Technology",3
2020,Non-Elsevier,Fraunhofer Institute for Secure Information Technology,3
2015,Elsevier,Fraunhofer Institute for Factory Operation and Automation,2
2015,Non-Elsevier,Leibniz Institute of Ecological Urban and Regional Development,6
2018,Non-Elsevier,University of Applied Sciences Kehl,1
2014,Elsevier,Fraunhofer Institute for Integrated Circuits,4
2016,Non-Elsevier,Max Planck Computing and Data Facility,4
2012,Elsevier,Fraunhofer Institute for Applied Polymer Research,3
2020,Elsevier,Stuttgart University of Applied Sciences,1
2018,Elsevier,Fraunhofer Institute for Biomedical Engineering,3
2018,Non-Elsevier,Fraunhofer Research Institution for Additive Production Technology,4
2012,Non-Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,9
2018,Elsevier,Max Planck Institute for Meteorology,3
2019,Elsevier,Leipzig University of Applied Sciences,6
2018,Non-Elsevier,Fraunhofer Institute for Silicon Technology,2
2014,Elsevier,Fraunhofer Chalmers Research Centre for Industrial Mathematics,5
2016,Elsevier,Hochschule Bremerhaven,2
2016,Elsevier,Karlsruhe University of Education,1
2020,Elsevier,Fraunhofer Institute for Physical Measurement Techniques,4
2017,Elsevier,Deggendorf Institute of Technology,2
2014,Elsevier,Reutlingen University,3
2015,Elsevier,Fraunhofer Institute for Physical Measurement Techniques,6
2016,Non-Elsevier,Leibniz-Centre General Linguistics,3
2014,Non-Elsevier,Fraunhofer Institute for Applied Information Technology,3
2018,Elsevier,Max Planck Institute for Biology of Ageing,5
2016,Elsevier,Fraunhofer Institute for Biomedical Engineering,3
2012,Elsevier,Max Planck Institute for Research on Collective Goods,8
2020,Non-Elsevier,University of Applied Sciences Kehl,1
2016,Non-Elsevier,Stuttgart University of Applied Sciences,3
2018,Non-Elsevier,Fachhochschule Kiel,3
2019,Elsevier,Ostbayerische Technische Hochschule Amberg Weiden,3
2016,Elsevier,Dresden University of Applied Sciences,3
2015,Non-Elsevier,Deggendorf Institute of Technology,4
2018,Non-Elsevier,Fraunhofer Chalmers Research Centre for Industrial Mathematics,2
2020,Elsevier,Max Planck Institute of Biophysics,4
2018,Elsevier,Pforzheim University of Applied Sciences,5
2013,Elsevier,Max Planck Institute for the History of Science,1
2013,Elsevier,Hochschule Ulm,1
2016,Elsevier,Fachhochschule Bielefeld,1
2018,Elsevier,University of Applied Sciences Biberach,2
2012,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",2
2018,Elsevier,Zittau/Görlitz University of Applied Sciences,3
2016,Non-Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,3
2016,Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,2
2012,Non-Elsevier,Heilbronn University,5
2019,Elsevier,Max Planck Institute for the Study of Societies,1
2017,Elsevier,Fraunhofer Institute for Applied Information Technology,3
2019,Non-Elsevier,Fraunhofer Institute for Material Flow and Logistics,1
2015,Elsevier,Stuttgart Media University,1
2017,Non-Elsevier,University of Applied Sciences Biberach,3
2013,Elsevier,University of Education Freiburg,3
2016,Elsevier,Institute for the German Language,1
2016,Elsevier,Rhine-Waal University of Applied Sciences,1
2013,Elsevier,Fraunhofer Institute for Algorithms and Scientific Computing,3
2016,Non-Elsevier,Fraunhofer Institute for Production Systems and Design Technology,5
2012,Elsevier,Fraunhofer Institute for Laser Technology,2
2019,Elsevier,Max Planck Institute for Empirical Aesthetics,2
2015,Elsevier,Institute for the German Language,1
2018,Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,2
2020,Elsevier,Leibniz-Centre General Linguistics,2
2019,Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",3
2017,Elsevier,Max Planck Institute for Empirical Aesthetics,7
2018,Non-Elsevier,Halle Institute for Economic Research,7
2013,Elsevier,Max Planck Institute of Quantum Optics,6
2016,Elsevier,Max Planck Institute for Molecular Biomedicine,6
2020,Elsevier,Max Planck Institute for Plant Breeding Research,5
2014,Non-Elsevier,Max Planck Institute for Comparative Public Law and International Law,1
2015,Elsevier,Max Planck Institute of Immunobiology and Epigenetics,4
2016,Non-Elsevier,Fraunhofer Institute for Mechatronic Systems Design,2
2015,Elsevier,Leibniz Institute of Ecological Urban and Regional Development,5
2016,Elsevier,Institute of Plant Genetics and Crop Plant Research,10
2014,Non-Elsevier,Fraunhofer Institute for Photonic Microsystems,2
2019,Elsevier,Fraunhofer Institute for Open Communication Systems,4
2018,Elsevier,University of Applied Sciences Rosenheim,1
2020,Non-Elsevier,"Fraunhofer Research Institution for Casting, Composite and Processing Technology",3
2013,Non-Elsevier,Fraunhofer Institute for Silicon Technology,2
2014,Non-Elsevier,Max Planck Research Unit Neurogenetics,2
2020,Elsevier,Max Planck Institute for Social Law and Social Policy,1
2017,Non-Elsevier,Fraunhofer Institute for Secure Information Technology,1
2017,Elsevier,HHL Leipzig Graduate School of Management,3
2015,Elsevier,Heidelberg University of Education,3
2013,Elsevier,Max Planck Institute for Radio Astronomy,2
