article_pubyear,member,n_items
2019,2525,17
2012,2525,43
2014,2525,15
2016,98,395
2012,16894,1
2014,16894,1
2017,16894,4
2017,2549,15
2018,4443,117
2017,18344,1
2019,4421,4
2014,1302,2
2020,1913,24
2013,1913,5
2015,1913,1
2019,1913,2
2012,4365,17
2013,4365,23
2014,4365,12
2016,4365,14
2018,4365,11
2020,4365,13
2013,2643,6
2020,4421,13
2014,4421,7
2013,2560,12
2014,2560,33
2015,2560,22
2012,2638,1
2012,2632,5
2016,378,1
2017,2632,4
2019,378,37
2020,378,107
2019,1665,30
2020,1665,18
2019,5351,2
2018,3613,1
2013,3613,1
2012,1754,22
2012,1665,21
2015,1665,23
2017,1665,21
2013,1665,12
2016,358,9
2019,358,26
2012,352,7
2013,352,6
2016,352,3
2018,352,6
2014,285,201
2016,5195,5
2014,81,38
2015,81,49
2012,81,53
2013,81,12
2015,1310,1
2014,1310,7
2017,1310,12
2016,1310,4
2019,1310,13
2020,1310,7
2017,8849,1
2020,8849,2
2018,866,3
2012,2998,1
2017,2998,2
2015,2017,2
2012,1939,9
2013,1939,4
2014,1939,6
2017,234,88
2020,3008,2
2018,3008,1
2019,3008,1
2017,996,4
2016,996,5
2018,5739,1
2020,3641,4
2020,200,3
2013,2918,5
2014,2918,4
2015,2918,5
2016,2918,4
2018,2918,3
2020,2918,13
2017,2918,10
2018,15940,2
2015,2273,5
2020,3656,6
2014,163,1
2013,22613,2
2014,22613,1
2016,8421,2
2017,8421,1
2019,8421,4
2012,349,2
2015,336,1
2012,4947,21
2013,4947,15
2019,23785,5
2019,12,122
2013,4381,2
2015,12,112
2016,12,102
2016,3979,7
2017,3666,1
2012,3656,1
2013,3656,2
2014,3656,5
2017,3656,6
2018,3656,4
2019,3656,5
2016,163,1
2014,349,3
2016,4947,30
2019,4947,19
2014,12,105
2012,12,74
2014,7744,1
2019,7760,1
2012,4859,1
2019,4870,2
2020,4870,6
2018,4570,1
2018,1010,64
2019,1010,98
2019,9508,15
2012,1606,1
2014,1606,2
2013,3665,1
2018,17149,43
2019,17149,34
2020,17149,26
2020,345,101
2015,4226,2
2019,4226,1
2019,4858,1
2012,4194,17
2012,7349,2
2018,7892,192
2019,7892,70
2020,7892,48
2012,30,33
2015,30,18
2020,8917,1
2013,233,278
2012,1856,38
2013,1856,37
2014,1856,43
2015,1856,30
2016,1856,52
2013,5267,40
2015,5267,42
2012,5267,38
2014,5267,10
2014,5262,1
2014,5264,4
2014,233,287
2015,233,276
2017,1856,58
2018,1856,54
2019,1856,71
2020,1856,66
2018,1858,2
2013,4874,11
2012,138,2
2020,36,10
2015,36,15
2019,36,8
2018,2487,38
2020,2487,33
2012,2487,102
2013,2487,97
2014,2487,101
2015,2487,111
2012,17418,4
2018,5264,1
2018,2482,4
2020,2482,3
2016,5262,2
2016,2482,2
2020,5300,3
2013,17418,3
2017,2248,2
2017,24934,4
2018,24934,6
2017,7620,2
2015,7609,2
2018,7993,2
2014,6036,18
2018,6048,2
2020,6743,2
2015,6743,4
2015,6036,15
2016,6036,16
2017,6036,12
2019,6036,22
2020,6036,21
2013,1754,24
2014,1754,23
2015,1754,24
2016,1754,29
2017,1754,22
2019,1754,37
2020,1754,23
2015,20,21
2016,20,42
2017,20,23
2018,20,50
2019,20,48
2020,20,58
2016,6048,9
2017,6678,3
2015,1759,2
2019,408,30
2018,28283,4
2019,28283,6
2016,28283,4
2016,4046,2
2020,7609,1
2019,8044,7
2019,4046,1
2020,9019,3
2015,2895,3
2015,416,33
2020,17057,1
2017,10394,3
2016,2060,31
2016,2321,2
2018,2321,3
2020,28464,12
2018,3456,5
2019,2901,13
2013,2901,2
2020,2895,4
2019,21493,3
2016,2208,12
2019,2208,7
2020,23082,44
2018,2901,1
2014,10293,1
2014,10295,1
2018,3356,2
2020,3361,9
2020,33,138
2015,575,7
2019,67,25
2018,3361,5
2016,575,6
2020,575,2
2018,3494,1
2012,3554,4
2014,3554,6
2015,3554,7
2017,3554,8
2018,3554,7
