article_pubyear,publisher,institution_name,n_refs
2014,Non-Elsevier,Mannheim University of Applied Sciences,78
2013,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,39
2013,Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,19
2018,Non-Elsevier,Max Planck Unit for the Science of Pathogens,22
2019,Non-Elsevier,Fraunhofer Institute for Technological Trend Analysis,5
2018,Elsevier,Max Planck Unit for the Science of Pathogens,10
2015,Elsevier,University of Passau,56
2019,Non-Elsevier,Westsächsische Hochschule Zwickau,24
2013,Elsevier,Bernhard Nocht Institute for Tropical Medicine,91
2019,Elsevier,Heilbronn University,22
2012,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",2
2019,Elsevier,Fraunhofer Institute for Mechatronic Systems Design,13
2019,Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,13
2017,Non-Elsevier,Fraunhofer Institute for Factory Operation and Automation,23
2012,Non-Elsevier,Deggendorf Institute of Technology,8
2016,Non-Elsevier,Fraunhofer Institute for Applied and Integrated Security,3
2020,Elsevier,Hochschule Mittweida,15
2012,Elsevier,Fraunhofer Chile Research Foundation,1
2018,Elsevier,Fraunhofer Institute for Laser Technology,45
2015,Non-Elsevier,Fraunhofer Institute for Industrial Mathematics,40
2015,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,13
2019,Non-Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,19
2014,Non-Elsevier,Münster University of Applied Sciences,35
2017,Non-Elsevier,Leipzig University of Applied Sciences,64
2012,Non-Elsevier,Stuttgart Media University,5
2013,Non-Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,32
2013,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,27
2020,Non-Elsevier,Darmstadt University of Applied Sciences,89
2015,Elsevier,TH Köln – University of Applied Sciences,7
2015,Non-Elsevier,Max Planck Institute for Social Law and Social Policy,18
2018,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,13
2018,Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,48
2017,Non-Elsevier,Fraunhofer Institute for Integrated Circuits,38
2017,Non-Elsevier,Fraunhofer Institute for Silicate Research,77
2012,Non-Elsevier,Darmstadt University of Applied Sciences,11
2016,Elsevier,Baden-Wuerttemberg Cooperative State University,13
2017,Elsevier,Hochschule Mittweida,9
2018,Elsevier,Max Planck Institute of Neurobiology,85
2016,Elsevier,Max Planck Institute for the Science of Human History,32
2017,Elsevier,Fraunhofer Institute for Silicate Research,71
2012,Elsevier,Fraunhofer Research Institution for Marine Biotechnology and Cell Technology,7
2018,Elsevier,"Fraunhofer Institute for High-Speed Dynamics, Ernst-Mach-Institut",27
2013,Non-Elsevier,Leibniz Research Centre for Working Environment and Human Factors,440
2015,Elsevier,Max Planck Institute of Quantum Optics,29
2018,Non-Elsevier,Fraunhofer Institute for Electronic Nano Systems,36
2017,Elsevier,Leipzig University of Applied Sciences,34
2019,Elsevier,Max Planck Institute for Metabolism Research,45
2014,Non-Elsevier,Regensburg University of Applied Sciences,19
2019,Non-Elsevier,Karlsruhe University of Education,8
2018,Non-Elsevier,RWI – Leibniz Institute for Economic Research,73
2016,Non-Elsevier,Max Planck Institute for Comparative Public Law and International Law,8
2018,Elsevier,Hochschule Aalen,122
2014,Elsevier,"Bauhaus University, Weimar",65
2020,Elsevier,Max Planck Institute for the History of Science,7
2018,Elsevier,Baden-Wuerttemberg Cooperative State University,7
2018,Elsevier,Fraunhofer Italia Research,113
2014,Elsevier,Fraunhofer Institute for Applied Solid State Physics,17
2018,Non-Elsevier,Regensburg University of Applied Sciences,25
2018,Non-Elsevier,Fraunhofer Italia Research,26
2014,Elsevier,Max Planck Institute for Radio Astronomy,25
2020,Non-Elsevier,Fraunhofer Institute for Applied Information Technology,67
2015,Non-Elsevier,Fraunhofer Chalmers Research Centre for Industrial Mathematics,17
2019,Non-Elsevier,hsg Bochum - University of Applied Sciences,16
2019,Non-Elsevier,Esslingen University of Applied Sciences,55
2017,Elsevier,Max Planck Institute for the Science of Light,18
2020,Elsevier,Fraunhofer Research Institution for Additive Production Technology,22
2015,Non-Elsevier,Bremen University of Applied Sciences,22
2020,Elsevier,Westsächsische Hochschule Zwickau,25
2012,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,14
2019,Non-Elsevier,Kühne Logistics University,32
2016,Elsevier,Max Planck Institute for Comparative Public Law and International Law,2
2019,Elsevier,Max Planck Institute for Infection Biology,48
2015,Non-Elsevier,Heilbronn University,25
2020,Non-Elsevier,Fraunhofer Research Institution for Additive Production Technology,33
2016,Non-Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,50
2013,Non-Elsevier,Max Planck Florida Institute for Neuroscience,27
2017,Non-Elsevier,Frankfurt University of Applied Sciences,23
2016,Non-Elsevier,Darmstadt University of Applied Sciences,42
2014,Non-Elsevier,Fraunhofer Institute for Cognitive Systems,8
2018,Non-Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,34
2020,Non-Elsevier,Fraunhofer Society,45
2020,Elsevier,Max Planck Institute for Nuclear Physics,62
2018,Elsevier,Social Science Research Center Berlin,16
2014,Non-Elsevier,Baden-Wuerttemberg Cooperative State University,4
2012,Elsevier,Max Planck Institute of Microstructure Physics,34
2015,Non-Elsevier,Max Planck Institute for Social Anthropology,27
2012,Elsevier,Fraunhofer Institute for Laser Technology,4
2017,Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,12
2019,Non-Elsevier,Fraunhofer Institute for Silicon Technology,25
2015,Non-Elsevier,Heidelberg University of Education,40
2013,Elsevier,Technische Hochschule Mittelhessen,6
2016,Elsevier,Fraunhofer Institute for Laser Technology,37
2018,Elsevier,Leibniz Center for Tropical Marine Ecology,87
2016,Elsevier,Fraunhofer Institute for Applied Solid State Physics,24
2018,Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,41
2018,Non-Elsevier,Fraunhofer Institute for Microstructure of Materials and Systems,70
2013,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,10
2015,Non-Elsevier,University of Education Freiburg,40
2016,Non-Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,14
2019,Elsevier,Leipzig University of Applied Sciences,26
2015,Non-Elsevier,Max Planck Florida Institute for Neuroscience,78
2017,Elsevier,Max Planck Institute for Innovation and Competition,11
2013,Non-Elsevier,Max Planck Institute for Mathematics,49
2019,Non-Elsevier,Coburg University of Applied Sciences,60
2015,Elsevier,Social Science Research Center Berlin,14
2013,Non-Elsevier,University of Passau,53
2018,Non-Elsevier,Karlsruhe University of Applied Sciences,74
2014,Non-Elsevier,Max Planck Institute for Research on Collective Goods,14
2012,Non-Elsevier,Max Planck Institute for the History of Science,20
2020,Non-Elsevier,Fraunhofer Institute for Nondestructive Testing,59
2019,Non-Elsevier,Hochschule Ulm,35
2014,Non-Elsevier,Pforzheim University of Applied Sciences,13
2018,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,15
2014,Elsevier,Hochschule Mittweida,9
2015,Elsevier,Coburg University of Applied Sciences,7
2018,Non-Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",8
2014,Elsevier,University of Passau,49
2018,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,15
2018,Elsevier,Bundeswehr University Munich,74
2020,Elsevier,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",24
2019,Elsevier,Fraunhofer Society,6
2012,Non-Elsevier,RWI – Leibniz Institute for Economic Research,38
2019,Non-Elsevier,Max Planck Computing and Data Facility,34
2018,Non-Elsevier,Dresden University of Applied Sciences,52
2019,Elsevier,Fachhochschule Bielefeld,135
2015,Elsevier,Leibniz Institute for Tropospheric Research,90
2017,Non-Elsevier,Deggendorf Institute of Technology,38
2016,Elsevier,RWI – Leibniz Institute for Economic Research,11
2019,Non-Elsevier,Münster University of Applied Sciences,97
2020,Elsevier,Fraunhofer Institute for Algorithms and Scientific Computing,36
2017,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,11
2019,Non-Elsevier,Mannheim University of Applied Sciences,141
2015,Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,39
2013,Non-Elsevier,Darmstadt University of Applied Sciences,21
2013,Non-Elsevier,University of Applied Sciences Biberach,21
2019,Non-Elsevier,Hochschule Hannover,15
2020,Non-Elsevier,Deggendorf Institute of Technology,86
2013,Elsevier,Leipzig University of Applied Sciences,17
2013,Elsevier,University of Applied Sciences Biberach,18
2015,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,36
2018,Elsevier,Fraunhofer Portugal Research,1
2012,Elsevier,Fraunhofer Institute for Mechanics of Materials,35
2020,Elsevier,Max Planck Institute for Demographic Research,43
2016,Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",26
2015,Elsevier,Deggendorf Institute of Technology,19
2013,Elsevier,Darmstadt University of Applied Sciences,10
2018,Non-Elsevier,Fraunhofer Portugal Research,7
2017,Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,72
2018,Non-Elsevier,Fraunhofer Institute for Systems and Innovation Research,76
2019,Elsevier,Fraunhofer Institute for Integrated Circuits,24
2014,Non-Elsevier,Max Planck Research Unit Neurogenetics,11
2016,Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,52
2018,Non-Elsevier,Darmstadt University of Applied Sciences,38
2012,Non-Elsevier,Fresenius University of Applied Sciences,16
2020,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,35
2019,Elsevier,Ostbayerische Technische Hochschule Amberg Weiden,15
2016,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,52
2016,Non-Elsevier,Heilbronn University,24
2014,Elsevier,Albstadt-Sigmaringen University,10
2018,Elsevier,Bremen University of Applied Sciences,30
2018,Elsevier,hsg Bochum - University of Applied Sciences,2
2018,Non-Elsevier,Fraunhofer Austria,10
2020,Elsevier,Fraunhofer Research Institution for Energy Infrastructures and Geothermal Systems,3
2017,Non-Elsevier,Fraunhofer Institute for Production Systems and Design Technology,8
2020,Non-Elsevier,Rottenburg University of Applied Forest Sciences,14
2012,Elsevier,Fraunhofer Institute for Material and Beam Technology,47
2013,Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,42
2015,Non-Elsevier,Fraunhofer Institute for Process Engineering and Packaging,101
2018,Non-Elsevier,Leipzig University of Applied Sciences,30
2013,Elsevier,Max Planck Institute for Biology of Ageing,36
2017,Non-Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,32
2017,Elsevier,Deggendorf Institute of Technology,19
2014,Elsevier,Max Planck Institute for Meteorology,25
2017,Non-Elsevier,Fraunhofer Institute for Applied Optics and Precision Engineering,61
2012,Non-Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,46
2014,Elsevier,Regensburg University of Applied Sciences,4
2020,Non-Elsevier,Leipzig University of Applied Sciences,63
2018,Elsevier,Fraunhofer Institute for Digital Media Technology,11
2015,Elsevier,Fraunhofer Institute for Electronic Nano Systems,28
2013,Elsevier,Leibniz Center for Tropical Marine Ecology,50
2018,Non-Elsevier,Fraunhofer Institute for Digital Media Technology,28
2018,Elsevier,Institut für Arbeitsmarkt und Berufsforschung,8
2019,Non-Elsevier,Deggendorf Institute of Technology,57
2012,Elsevier,University of Bamberg,45
2018,Non-Elsevier,Fraunhofer Institute for Applied Information Technology,8
2013,Elsevier,Hochschule Hannover,9
2018,Elsevier,Max Planck Institute of Microstructure Physics,20
2019,Non-Elsevier,Fachhochschule Kiel,43
2018,Elsevier,RWI – Leibniz Institute for Economic Research,41
2016,Non-Elsevier,University of Education Freiburg,28
2018,Non-Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,46
2020,Non-Elsevier,Berlin State Library,24
2018,Elsevier,University of Applied Sciences Biberach,19
2016,Non-Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,39
2014,Non-Elsevier,Fraunhofer Institute for Experimental Software Engineering,4
2019,Elsevier,Fraunhofer Institute for Toxicology and Experimental Medicine,31
2015,Elsevier,Dresden University of Applied Sciences,7
2020,Elsevier,Fraunhofer Institute for Open Communication Systems,14
2018,Elsevier,Leibniz Institute of Ecological Urban and Regional Development,66
2016,Non-Elsevier,Fraunhofer Institute for Biomedical Engineering,49
2018,Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,14
2017,Non-Elsevier,Fraunhofer Institute for Laser Technology,86
2017,Elsevier,Fraunhofer Institute for Electronic Nano Systems,26
2018,Elsevier,Max Planck Institute of Quantum Optics,25
2014,Non-Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,21
2014,Non-Elsevier,hsg Bochum - University of Applied Sciences,19
2015,Non-Elsevier,Leipzig University of Applied Sciences,29
2017,Elsevier,Max Planck Institute for Informatics,33
2014,Elsevier,hsg Bochum - University of Applied Sciences,6
2018,Elsevier,Zittau/Görlitz University of Applied Sciences,10
2015,Elsevier,Fraunhofer Institute for Open Communication Systems,12
2012,Non-Elsevier,Mannheim University of Applied Sciences,50
2015,Non-Elsevier,Hochschule Hannover,31
2016,Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,17
2017,Elsevier,University of Applied Sciences Biberach,10
2019,Non-Elsevier,Fraunhofer Institute for Open Communication Systems,19
2017,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,37
2016,Non-Elsevier,Max Planck Research Unit Neurogenetics,15
2015,Non-Elsevier,University of Applied Sciences Emden Leer,38
2012,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,22
2017,Elsevier,Fraunhofer Institute for Laser Technology,58
2012,Elsevier,Max Planck Institute for Radio Astronomy,21
2012,Non-Elsevier,Max Planck Institute for Biology of Ageing,59
2015,Non-Elsevier,Coburg University of Applied Sciences,11
2012,Elsevier,Fraunhofer Institute for Electronic Nano Systems,26
2015,Non-Elsevier,Fraunhofer Society,14
2015,Elsevier,Fraunhofer Institute for Applied Polymer Research,46
2019,Non-Elsevier,Fraunhofer Italia Research,13
2013,Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,21
2015,Elsevier,Fraunhofer Institute for Reliability and Microintegration,24
2015,Non-Elsevier,Pforzheim University of Applied Sciences,22
2013,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,29
2018,Elsevier,HHL Leipzig Graduate School of Management,48
2015,Elsevier,Max Planck Institute for the Science of Light,29
2013,Non-Elsevier,Fraunhofer Institute for Machine Tools and Forming Technology,11
2017,Elsevier,"Fraunhofer Institute for Organic Electronics, Electron Beam and Plasma Technology",20
2012,Non-Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,45
2013,Elsevier,Social Science Research Center Berlin,11
2019,Elsevier,Fraunhofer Research Institution for Additive Production Technology,3
2012,Elsevier,Max Planck Institute for Tax Law and Public Finance,14
2012,Elsevier,Social Science Research Center Berlin,7
2015,Elsevier,Fraunhofer Institute for Laser Technology,33
2014,Elsevier,Catholic University of Eichstätt-Ingolstadt,24
2020,Elsevier,University of Education Freiburg,34
2013,Elsevier,Max Planck Research Unit Neurogenetics,3
2014,Elsevier,Fraunhofer Institute for Applied Information Technology,5
2018,Non-Elsevier,Augsburg University of Applied Sciences,22
2018,Elsevier,Fraunhofer Institute for Electronic Nano Systems,16
2020,Elsevier,Neubrandenburg University of Applied Sciences,28
2019,Non-Elsevier,Fraunhofer Institute for Reliability and Microintegration,20
2014,Non-Elsevier,Neubrandenburg University of Applied Sciences,11
2014,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,10
2015,Elsevier,Max Planck Institute for Meteorology,43
2020,Non-Elsevier,Max Planck Florida Institute for Neuroscience,77
2018,Non-Elsevier,Centre For European Economic Research,51
2015,Non-Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,26
2017,Non-Elsevier,Max Planck Institute for Foreign and International Criminal Law,11
2013,Non-Elsevier,Max Planck Research Unit Neurogenetics,6
2016,Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,17
2016,Elsevier,Max Planck Institute for Radio Astronomy,5
2020,Elsevier,Fraunhofer Institute for Physical Measurement Techniques,26
2017,Non-Elsevier,Offenburg University of Applied Sciences,18
2014,Elsevier,Leibniz Institute for Tropospheric Research,31
2017,Elsevier,Fraunhofer Research Institution for Marine Biotechnology and Cell Technology,13
2014,Non-Elsevier,University of Education Freiburg,37
2012,Elsevier,Max Planck Institute for Biology of Ageing,21
2017,Elsevier,Leibniz Institute of Agricultural Development in Transition Economies,18
2017,Non-Elsevier,Fraunhofer Institute for Silicon Technology,12
2013,Non-Elsevier,Fraunhofer Institute for Open Communication Systems,20
2012,Elsevier,Max Planck Institute of Quantum Optics,18
2018,Elsevier,Fraunhofer Institute for Building Physics,37
2019,Elsevier,Fraunhofer Institute for Applied Information Technology,9
2015,Non-Elsevier,Leibniz-Centre General Linguistics,10
2018,Non-Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,21
2019,Non-Elsevier,Hochschule für Technik und Wirtschaft des Saarlandes,18
2016,Non-Elsevier,Max Planck Institute for Foreign and International Criminal Law,3
2020,Elsevier,Georg Simon Ohm University of Applied Sciences Nuremberg,12
2014,Elsevier,Technische Hochschule Mittelhessen,14
2017,Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,29
2014,Non-Elsevier,Fraunhofer Institute for High Frequency Physics and Radar Techniques,11
2014,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,27
2015,Non-Elsevier,Hochschule Konstanz University of Applied Sciences,17
2012,Non-Elsevier,HHL Leipzig Graduate School of Management,10
2015,Elsevier,Esslingen University of Applied Sciences,24
2020,Non-Elsevier,Fraunhofer Research Institution for Large Structures in Production Engineering,15
2016,Elsevier,Darmstadt University of Applied Sciences,7
2018,Non-Elsevier,Leibniz-Centre General Linguistics,28
2019,Elsevier,Max Planck Institute for the Science of Light,33
2013,Non-Elsevier,Max Planck Institute for the Study of Societies,12
2018,Non-Elsevier,University of Applied Sciences Kehl,3
2018,Non-Elsevier,HHL Leipzig Graduate School of Management,96
2017,Non-Elsevier,Fraunhofer Institute for Production Technology,28
2013,Elsevier,Max Planck Institute for Research on Collective Goods,12
2016,Non-Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,35
2020,Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,113
2013,Non-Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,36
2014,Non-Elsevier,Darmstadt University of Applied Sciences,11
2018,Elsevier,Nürtingen-Geislingen University of Applied Science,25
2012,Non-Elsevier,Max Planck Institute for Tax Law and Public Finance,11
2020,Non-Elsevier,Fraunhofer Institute for High Frequency Physics and Radar Techniques,39
2014,Elsevier,Max Planck Institute for Informatics,19
2014,Elsevier,Neubrandenburg University of Applied Sciences,8
2017,Elsevier,University of Applied Sciences Emden Leer,14
2020,Elsevier,Fraunhofer Center for Maritime Logistics and Services,2
2016,Non-Elsevier,Fraunhofer Institute for Computer Graphics Research,9
2014,Elsevier,Fraunhofer Institute for Wind Energy Systems,39
2018,Non-Elsevier,Hochschule Ulm,34
2012,Non-Elsevier,Fulda University of Applied Sciences,13
2016,Elsevier,Hochschule Osnabrück,31
2019,Non-Elsevier,Fraunhofer Research Institution for Microsystems and Solid State Technologies,16
2014,Non-Elsevier,Institut für Arbeitsmarkt und Berufsforschung,20
2020,Non-Elsevier,Fraunhofer Institute for Microelectronic Circuits and Systems,45
2013,Elsevier,Centre For European Economic Research,36
2016,Non-Elsevier,Halle Institute for Economic Research,12
2018,Non-Elsevier,FH Aachen,81
2016,Elsevier,Max Planck Institute for Gravitational Physics,34
2014,Elsevier,Institut für Arbeitsmarkt und Berufsforschung,3
2012,Elsevier,Bremen University of Applied Sciences,4
2018,Elsevier,Fraunhofer Institute for Integrated Circuits,19
2018,Non-Elsevier,Max Planck Institute for Research on Collective Goods,23
2013,Non-Elsevier,Centre For European Economic Research,46
2012,Elsevier,Dresden University of Applied Sciences,9
2012,Non-Elsevier,Münster University of Applied Sciences,37
2015,Elsevier,Hochschule Hannover,10
2014,Elsevier,Karlsruhe University of Applied Sciences,8
2012,Non-Elsevier,German National Library of Economics,6
2019,Non-Elsevier,University of Education Weingarten,9
2015,Non-Elsevier,Stuttgart University of Applied Sciences,5
2020,Elsevier,Max Planck Institute for Comparative Public Law and International Law,1
2014,Non-Elsevier,Offenburg University of Applied Sciences,59
2012,Non-Elsevier,Fachhochschule Kiel,8
2018,Non-Elsevier,Hochschule Hannover,35
2020,Elsevier,Max Planck Institute for Research on Collective Goods,15
2019,Elsevier,Fraunhofer Austria,25
2014,Elsevier,Fraunhofer Institute for Surface Engineering and Thin Films,7
2018,Elsevier,Fraunhofer Research Institution for Additive Production Technology,17
2018,Non-Elsevier,Heilbronn University,30
2014,Elsevier,Offenburg University of Applied Sciences,26
2017,Non-Elsevier,Berlin State Library,8
2013,Non-Elsevier,Karlsruhe University of Applied Sciences,18
2018,Non-Elsevier,Fraunhofer Institute for Wood Research Wilhelm-Klauditz-Institut,39
2017,Elsevier,Münster University of Applied Sciences,54
2014,Non-Elsevier,Max Planck Institute for the History of Science,19
2019,Non-Elsevier,Fraunhofer Austria,11
2019,Elsevier,Fraunhofer Project Centre Wolfsburg,45
2018,Elsevier,Fraunhofer Chalmers Research Centre for Industrial Mathematics,8
2017,Elsevier,Fraunhofer Institute for Factory Operation and Automation,41
2013,Non-Elsevier,Heilbronn University,21
2012,Elsevier,Max Planck Institute for the Physics of Complex Systems,94
2016,Elsevier,"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",11
2016,Elsevier,Halle Institute for Economic Research,6
2017,Non-Elsevier,Fraunhofer Institute for Reliability and Microintegration,34
2019,Elsevier,German Institute for International Educational Research,36
2017,Elsevier,Max Planck Institute for Demographic Research,17
2015,Elsevier,Max Planck Institute for the History of Science,13
2013,Elsevier,Max Planck Institute for Demographic Research,23
2018,Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,18
2013,Elsevier,Max Planck Florida Institute for Neuroscience,17
2018,Non-Elsevier,Fraunhofer Institute for Integrated Systems and Device Technology,31
2019,Elsevier,Fraunhofer Research Institution for Microsystems and Solid State Technologies,5
2015,Elsevier,Leibniz Institute for Zoo and Wildlife Research,60
2013,Elsevier,Hamburg University of Applied Sciences,24
2012,Non-Elsevier,Fraunhofer Center for International Management and Knowledge Economy,7
2018,Elsevier,Leibniz Institute for Tropospheric Research,49
2012,Elsevier,Fraunhofer Center for International Management and Knowledge Economy,9
2017,Elsevier,Fraunhofer Institute for Reliability and Microintegration,3
2019,Elsevier,Fraunhofer Institute for Applied Polymer Research,31
2014,Non-Elsevier,Max Planck Institute for Comparative and International Private Law,7
2018,Non-Elsevier,Berlin State Library,24
2017,Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,27
2013,Elsevier,Max Planck Institute for Radio Astronomy,24
2016,Non-Elsevier,Dresden University of Applied Sciences,9
2015,Elsevier,Max Planck Florida Institute for Neuroscience,33
2017,Elsevier,Frankfurt University of Applied Sciences,19
2019,Non-Elsevier,University of Applied Sciences Rosenheim,4
2019,Non-Elsevier,Stuttgart Media University,6
2013,Non-Elsevier,Augsburg University of Applied Sciences,3
2016,Elsevier,Fraunhofer Institute for Computer Graphics Research,6
2014,Non-Elsevier,Frankfurt University of Applied Sciences,8
2013,Non-Elsevier,HHL Leipzig Graduate School of Management,22
2018,Non-Elsevier,Fraunhofer Institute for Secure Information Technology,13
2012,Elsevier,Heidelberg University of Education,17
2018,Non-Elsevier,German National Library of Economics,7
2019,Non-Elsevier,Fraunhofer Institute for Production Technology,19
2017,Non-Elsevier,Zittau/Görlitz University of Applied Sciences,12
2017,Elsevier,Max Planck Institute for Dynamics and Self Organization,27
2020,Non-Elsevier,Heilbronn University,57
2015,Elsevier,Fraunhofer Institute for Nondestructive Testing,4
2020,Elsevier,Heilbronn University,21
2017,Non-Elsevier,Albstadt-Sigmaringen University,45
2016,Non-Elsevier,Max Planck Research Unit for Enzymology of Protein Folding,2
2016,Non-Elsevier,University of Applied Sciences Biberach,47
2012,Elsevier,Fraunhofer Institute for Applied Polymer Research,33
2012,Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,92
2017,Elsevier,Max Planck Institute for Gravitational Physics,23
2016,Elsevier,University of Applied Sciences Biberach,15
2013,Non-Elsevier,Fraunhofer Institute for Wind Energy Systems,7
2015,Non-Elsevier,Fachhochschule Bielefeld,21
2013,Elsevier,Fraunhofer Institute for Wind Energy Systems,6
2014,Non-Elsevier,Fulda University of Applied Sciences,30
2012,Non-Elsevier,Halle Institute for Economic Research,13
2013,Non-Elsevier,Fresenius University of Applied Sciences,23
2016,Elsevier,Fraunhofer Institute for Biomedical Engineering,20
2016,Elsevier,Hochschule Ulm,15
2013,Elsevier,Rottenburg University of Applied Forest Sciences,7
2012,Elsevier,Leibniz Institute of Ecological Urban and Regional Development,25
2014,Non-Elsevier,"Fraunhofer Institute for Communication, Information Processing and Ergonomics",19
2015,Non-Elsevier,Zittau/Görlitz University of Applied Sciences,27
2019,Elsevier,Heidelberg University of Education,6
2012,Elsevier,University of Education Freiburg,7
2014,Elsevier,Max Planck Institute for Mathematics in the Sciences,39
2016,Elsevier,Zittau/Görlitz University of Applied Sciences,8
2012,Elsevier,Fraunhofer Institute for Building Physics,1
2017,Non-Elsevier,Karlsruhe University of Applied Sciences,52
2012,Non-Elsevier,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",7
2020,Elsevier,Fraunhofer Institute for Applied Information Technology,21
2012,Non-Elsevier,University of Education Freiburg,11
2016,Elsevier,"Fraunhofer Institute of Optronics, System Technologies and Image Exploitation",23
2012,Non-Elsevier,TH Köln – University of Applied Sciences,6
2020,Elsevier,Max Planck Institute for Mathematics,13
2020,Non-Elsevier,Fraunhofer Institute for Building Physics,41
2020,Non-Elsevier,Max Planck Institute for Foreign and International Criminal Law,1
2020,Non-Elsevier,Fraunhofer Institute for Applied and Integrated Security,1
2017,Elsevier,Fraunhofer Institute for Microstructure of Materials and Systems,30
2020,Elsevier,Fraunhofer Institute for Building Physics,21
2014,Elsevier,Max Planck Institute for the Science of Light,28
2018,Elsevier,Fraunhofer Institute for Intelligent Analysis and Information Systems,5
2019,Elsevier,Fraunhofer Institute for Industrial Engineering,13
2020,Non-Elsevier,Fraunhofer Institute for Systems and Innovation Research,68
2016,Elsevier,Technische Hochschule Ingolstadt,16
2017,Non-Elsevier,Fraunhofer Institute for Structural Durability and System Reliability,32
2019,Elsevier,Fraunhofer Institute for Computer Graphics Research,12
2014,Non-Elsevier,Ostwestfalen-Lippe University of Applied Sciences and Arts,9
2016,Non-Elsevier,Reutlingen University,84
2015,Non-Elsevier,University of Applied Sciences Würzburg-Schweinfurt,10
2014,Non-Elsevier,Dresden University of Applied Sciences,19
2020,Elsevier,Fraunhofer Institute for Integrated Circuits,34
2013,Non-Elsevier,Fraunhofer Institute for Photonic Microsystems,19
2019,Elsevier,Fraunhofer Institute for Energy Economics and Energy System Technology,68
2012,Elsevier,Max Planck Institute for Social Anthropology,13
2015,Non-Elsevier,Fraunhofer Institute for Wind Energy Systems,18
2014,Non-Elsevier,Hochschule Osnabrück,26
2018,Non-Elsevier,Social Science Research Center Berlin,74
2014,Elsevier,Hochschule Geisenheim University,12
2017,Non-Elsevier,Regensburg University of Applied Sciences,43
2015,Non-Elsevier,Kühne Logistics University,6
2019,Elsevier,University of Applied Sciences Würzburg-Schweinfurt,9
2017,Elsevier,Regensburg University of Applied Sciences,15
2018,Elsevier,Fraunhofer Austria,47
2018,Non-Elsevier,Fraunhofer Institute for Open Communication Systems,13
