article_pubyear,publisher,institution_name,n_refs
2016,Non-Elsevier,Carl von Ossietzky University of Oldenburg,2509
2012,Non-Elsevier,University of Freiburg,5013
2018,Non-Elsevier,German Center for Neurodegenerative Diseases,2001
2013,Non-Elsevier,Federal Institute For Materials Research and Testing,778
2014,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,987
2018,Non-Elsevier,Kiel University,5169
2019,Non-Elsevier,University of Göttingen,6963
2015,Non-Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,873
2016,Non-Elsevier,TU Darmstadt,3281
2018,Non-Elsevier,University of Bayreuth,2509
2012,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,817
2013,Non-Elsevier,Saarland University,2757
2012,Non-Elsevier,University of Wuppertal,926
2016,Elsevier,Forschungszentrum Jülich,1714
2018,Elsevier,German Institute of Human Nutrition,199
2013,Non-Elsevier,TU Bergakademie Freiberg,730
2014,Non-Elsevier,Max Planck Institute for Solid State Research,1308
2014,Non-Elsevier,Otto-von-Guericke University Magdeburg,2847
2015,Non-Elsevier,RWTH Aachen University,8952
2019,Non-Elsevier,Max Planck Institute of Biochemistry,1149
2012,Elsevier,University of Würzburg,1893
2016,Non-Elsevier,Technical University of Berlin,5630
2015,Non-Elsevier,Goethe University Frankfurt,6564
2017,Non-Elsevier,University of Mannheim,923
2012,Non-Elsevier,Bundeswehr University Munich,107
2018,Elsevier,University of Würzburg,1366
2017,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,1678
2014,Non-Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,364
2013,Non-Elsevier,Max Planck Institute for Molecular Genetics,761
2017,Non-Elsevier,University of Stuttgart,4213
2017,Non-Elsevier,Max Planck Institute for Intelligent Systems,905
2017,Elsevier,Technical University of Munich,5291
2013,Non-Elsevier,Forschungszentrum Jülich,4023
2020,Non-Elsevier,Philipp University of Marburg,5360
2015,Elsevier,Fraunhofer Institute for Material and Beam Technology,52
2020,Non-Elsevier,Max Planck Institute for Biology of Ageing,337
2012,Non-Elsevier,Leipzig University,5720
2013,Non-Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,481
2014,Non-Elsevier,Max Planck Institute of Immunobiology and Epigenetics,332
2016,Elsevier,Saarland University,1385
2014,Non-Elsevier,University of Stuttgart,3567
2012,Non-Elsevier,Fraunhofer Institute for Cell Therapy and Immunology,316
2018,Elsevier,Max Planck Institute for Iron Research,543
2014,Elsevier,Max Planck Institute for Biophysical Chemistry,297
2020,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,818
2018,Elsevier,Heidelberg University,2934
2016,Non-Elsevier,University of Greifswald,2688
2018,Non-Elsevier,German Cancer Research Center,6374
2018,Non-Elsevier,Heidelberg University,10816
2014,Non-Elsevier,University of Passau,84
2020,Non-Elsevier,Saxon State and University Library Dresden,4
2019,Non-Elsevier,Robert Koch Institute,1224
2013,Non-Elsevier,Chemnitz University of Technology,1343
2013,Non-Elsevier,Ruhr University Bochum,5152
2013,Non-Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,704
2020,Elsevier,Munich University of Applied Sciences,111
2014,Non-Elsevier,University of Erlangen-Nuremberg,8709
2012,Non-Elsevier,TU Dortmund University,2090
2012,Non-Elsevier,Leibniz Research Centre for Working Environment and Human Factors,556
2013,Elsevier,University of Lübeck,650
2017,Non-Elsevier,RWTH Aachen University,9637
2013,Non-Elsevier,Goethe University Frankfurt,6768
2018,Elsevier,University of Freiburg,2753
2016,Non-Elsevier,Forschungszentrum Jülich,5124
2017,Non-Elsevier,Ruhr University Bochum,6452
2013,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,1419
2018,Elsevier,Freie Universität Berlin,2026
2014,Elsevier,University of Münster,2269
2019,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,1657
2017,Non-Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,959
2018,Non-Elsevier,"Bauhaus University, Weimar",153
2012,Non-Elsevier,German Cancer Research Center,3532
2018,Elsevier,TU Darmstadt,1308
2018,Elsevier,University of Greifswald,1029
2020,Elsevier,Technical University of Munich,6209
2016,Non-Elsevier,Max Planck Institute for Polymer Research,2004
2015,Elsevier,Clausthal University of Technology,194
2020,Non-Elsevier,Saarland University,4373
2015,Elsevier,RWTH Aachen University,3152
2018,Non-Elsevier,Martin Luther University Halle-Wittenberg,3494
2018,Elsevier,University of Münster,2088
2020,Elsevier,Leuphana University of Lüneburg,421
2020,Non-Elsevier,TU Dortmund University,2857
2020,Non-Elsevier,Leibniz Institute for Analytical Sciences - ISAS,230
2014,Non-Elsevier,University of Konstanz,2649
2015,Elsevier,Deutsches Elektronen-Synchrotron DESY,291
2019,Non-Elsevier,Humboldt University of Berlin,7847
2016,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,1331
2016,Non-Elsevier,Clausthal University of Technology,488
2013,Non-Elsevier,Bielefeld University,2840
2017,Non-Elsevier,Max Planck Institute for Medical Research,392
2020,Non-Elsevier,University of Trier,762
2017,Non-Elsevier,Hochschule Ulm,20
2018,Non-Elsevier,Max Planck Institute of Microstructure Physics,348
2017,Non-Elsevier,Freie Universität Berlin,7721
2017,Elsevier,Bielefeld University,808
2018,Non-Elsevier,Max Planck Institute for the Science of Human History,425
2019,Elsevier,Osnabrück University,412
2017,Non-Elsevier,Forschungszentrum Jülich,5845
2014,Elsevier,University of Giessen,1610
2013,Non-Elsevier,TU Darmstadt,2765
2018,Elsevier,University of Giessen,1450
2013,Elsevier,Federal Institute For Materials Research and Testing,297
2017,Non-Elsevier,University of Education Freiburg,23
2016,Non-Elsevier,University Medical Center Hamburg-Eppendorf,6054
2020,Non-Elsevier,Charité - University Medicine Berlin,15891
2018,Elsevier,University of Duisburg-Essen,1800
2019,Elsevier,University of Bonn,1905
2019,Non-Elsevier,Max Planck Institute for Heart and Lung Research,1008
2016,Non-Elsevier,University of Hohenheim,1857
2017,Elsevier,Fraunhofer Institute for Digital Medicine,38
2019,Elsevier,Kiel University,1733
2019,Elsevier,University of Hannover,1347
